N_patente;Nombre_comercio;Id_persona;Aprobacion;Categoria;Actividad;Permiso_salud;Vigencia_permiso_salud;Tipo_rotulo;Dimension;Rotulo;Provincia;Lic_licor;Codigo_actividad;Nogis;N_finca;F_real;Derecho;Direccion_comercio;Filial;N_plano_catastro;Tipo_persona;Distrito;Canton
3;TRIBECA;21715;27/4/2007 00:00;COM;RESTAURANTE Y SALA DE EVENTOS;3;7/2/2021 00:00;;0;1;1;;795;110024000;130982;;0;SANTA ANA, CENTRO, DE LA GUARIA 500 ESTE. ;;1-23606-1955;J;SANTA ANA;SANTA ANA
11;ADM DE PARQUES ZONA FRANCA GENESIS;15541;6/12/2000 00:00;COM;OFICINAS ADMINISTRATIVAS;11;;;0;1;1;;658;911999999;123456;;0; ;;NO SE INDICA;J;POZOS;SANTA ANA
22;AGRO SALITRE;5696;1/1/1900 00:00;COM;AGROQUIMICOS;22;8/4/2018 00:00;;0;1;1;;48;124017000;125725;;0;SANTA ANA, CENTRO, DE RICESA 100 ESTE. ;;1-370429-1979;J;SANTA ANA;SANTA ANA
28;TALLER CARAMELO;4304;5/8/1997 00:00;COM;TALLER ENDEREZADO Y PINTURA;28;;;0;0;1;;;204020000;194716;;0;BRASIL, 100 MTS AL ESTE DE LA ESCUELA DE BRASIL. ;;1-618557-1986;F;BRASIL;SANTA ANA
34;QUIOSCO ANA ;101764;26/4/1998 00:00;COM;SODA;34;;;0;1;1;;899;105166000;139376;;2;POZOS, DE LA CHISPA 150 ESTE. ;;1-959042-2004;F;POZOS;SANTA ANA
37;ABASTECEDOR EL CENTRO;12673;9/9/1991 00:00;COM;MINISUPER;37;;;0;0;1;;;126169000;499156;;7;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 250 OESTE. ;;1-552034-1999;F;SANTA ANA;SANTA ANA
42;EL PERICO;2023;10/3/2005 00:00;COM;MINISUPER Y MAQUINAS DE PIN BALL;42;5/1/2022 00:00;;0;0;1;;534;537202000;256567;;15;DE LA INTERSECCION RUTA NACIONAL 311 CON CALLE 11, 239 MTS. NOR-ESTE. ;;1-296407-1978;F;SALITRAL;SANTA ANA
43;TALLER AGUILAR;101767;16/2/2001 00:00;COM;TALLER MECANICA Y PRECISION;43;;;0;1;1;;948;200025000;510573;;0;BRASIL, DE LA ENTRADA A CALLE COPEY 132 NOR-OESTE. ;;1-649356-2000;F;BRASIL;SANTA ANA
48;REPUESTOS RANDALL;13471;13/10/1986 00:00;COM;CHATARRERA;02;13/10/1987 00:00;;0;1;1;;203;200099000;320398;;0;BRASIL, DE SWISS TRAVEL 761 OESTE. ;;1-1707942-2013;F;BRASIL;SANTA ANA
50;TALLER  VILLARREAL ;3722;16/3/1993 00:00;COM;TALLER AUTOMOTRIZ;50;;;0;1;1;;920;502094000;562908;;0;DEL CEMENTERIO 122 ESTE. ;;1-865350-2003;F;PIEDADES;SANTA ANA
53;SODA DIANA;7015;20/3/2006 00:00;COM;SODA;53;;;0;1;1;;899;312092000;308419;;2;POZOS, COSTADO ESTE DEL SALON COMUNAL. ;;1-1447508-2010;F;POZOS;SANTA ANA
67;SALA DE BELLEZA MARIA;17965;15/6/2006 00:00;COM;SALON DE BELLEZA;67;;;0;1;1;;;313005000;496355;;1;POZOS, DE LA IGLESIA 395 NORTE. ;;1-161737-1994;F;POZOS;SANTA ANA
72;POPS;19939;26/3/2006 00:00;COM;HELADERIA;CS-ARS-SA-352-2015;6/8/2015 00:00;;0;1;1;;418;328150019;57943;;0;POZOS, CONDOMINIO VISTANA OESTE, FILIAL # 19. ;F;1-1234025-2007;J;POZOS;SANTA ANA
77;LA ESQUINA;2673;21/4/1998 00:00;COM;SODA;CS-ARS-SA-231-15;10/6/2019 00:00;;0;1;1;;;169005000;58049;;0;SALITRAL, COSTADO SUR DE LA GUARDIA RURAL. ;;NO SE INDICA;F;SANTA ANA;SANTA ANA
78;MINISUPER LA ESQUINA;19715;11/1/2006 00:00;COM;LICORERA Y SUPERMERCADO;CS-ARS-SA-285-15;5/5/2016 00:00;;0;1;1;477;487;542030000;141196;;0;FRENTE A LA GUARDIA RURAL. ;;1-460065-1981;F;SALITRAL;SANTA ANA
80;OPTICA VISION;204458;10/3/2004 00:00;COM;OPTICA;CS-ARS-SA-296-2015;18/8/2015 00:00;;0;1;1;;692;311356000;571952;;0;POZOS, DE MATRA 307 NORTE, AUTOMERCADO.  ;;1-1021901-2005;J;POZOS;SANTA ANA
83;TALLER;928;3/2/1992 00:00;COM;TALLER DE PINTURA;83;;;0;1;1;;;322176000;271862;;0;POZOS, CENTRO COMERCIAL LA CHISPA. ;;1-866853-2003;F;POZOS;SANTA ANA
84;INTERQUIN;928;27/5/1997 00:00;COM;BODEGAS;84;;;0;1;1;;;108226000;153395;;0;POZOS, DE LA CHISPA 420 ESTE Y 73 SUR. ;;1-1968361-2017;F;POZOS;SANTA ANA
