id;descripcio;nogis;uso;nivel;N_patente;Nombre_com;Id_persona;Aprobacion;Categoria;Actividad;Permiso_sa;Vigencia_p;Tipo_rotul;Dimension;Rotulo;Provincia;Lic_licor;Codigo_act;Nogis_1;N_finca;F_real;Derecho;Direccion_;Filial;N_plano_ca;Tipo_perso;Distrito;Canton;Este;Norte;Lat;longitud
350;PREDIO ORDINARIO;200099000;;0;48;REPUESTOS RANDALL;13471;13/10/1986 00:00;COM;CHATARRERA;2;13/10/1987 00:00;;0;1;1;0;203;200099000;320398;;0;BRASIL, DE SWISS TRAVEL 761 OESTE.;;1-1707942-2013;F;BRASIL;SANTA ANA;474495.780000000000000;1098481.270000000000000;9.934250000000000;-84.232600000000000
472;PREDIO ORDINARIO;121152000;;0;466;TALLER DEL VALLE;2269;24/3/1994 00:00;COM;TALLER MECANICO;466;;;0;1;1;0;949;121152000;417692;;0;DE LA INTERSECCION DE AVENIDA 06 CON CALLE 11, 77 MTS. AL OESTE.;;1-961751-1991;F;SANTA ANA;SANTA ANA;480651.309999999000000;1097866.590000000000000;9.928720000000000;-84.176450000000000
508;PREDIO ORDINARIO;121258000;;0;488;TALLER DE ARTESANIA;3260;24/2/1998 00:00;COM;ARTESANIA;488;;;0;0;1;0;0;121258000;305203;;5;COSTADO OESTE DE LA INTERSECCION DE AVENIDA 16  CON CALLE 11.;;1-437486-1981;F;SANTA ANA;SANTA ANA;480558.849999999000000;1097471.239999990000000;9.925150000000000;-84.177300000000000
682;CONJUNTO HABITACIONAL CONSOLIDADO EL TRIUNFO;522121000;HABITACIONAL;0;141;LA ALAMEDA;113918;1/4/1991 00:00;COM;PULPERIA;141;;;0;0;1;0;748;522121000;360544;;11;PIEDADES, CIUDADELA EL TRIUNFO, LOTE # 46;;1-799761-1989;F;PIEDADES;SANTA ANA;476405.190000000000000;1097607.719999990000000;9.926360000000000;-84.215180000000000
877;PREDIO ORDINARIO;112015000;;0;212;TALLER BRANDT;101805;26/5/1998 00:00;COM;TALLER DE MECANICA Y PINTURA;212;;;0;0;1;0;929;112015000;583818;;0;SANTA ANA, CENTRO, DE LA GUARIA 500 ESTE.;;1-1097325-2006;F;SANTA ANA;SANTA ANA;480637.539999999000000;1098376.520000000000000;9.933339999999990;-84.176580000000000
8318;PREDIO ORDINARIO;302008000;;0;343;CONCRETO INDUSTRIAL;8274;31/10/2013 00:00;COM;FABRICACION DE PRODUCOS DE CONCRETO;343;;;0;1;1;0;378;302008000;272132;;0;POZOS, DE LAS BODEGAS DE MAS X MENOS 690 NOR-ESTE.;;1-298680-1978;J;POZOS;SANTA ANA;479526.469999999000000;1102403.370000000000000;9.969740000000000;-84.186740000000000
1013;PREDIO ORDINARIO;535125000;;0;577;TALLER HERNANDEZ;15921;10/11/1993 00:00;COM;TALLER MECANICO;577;;;0;1;1;0;0;535125000;209832;;1;DEL ABASTECEDOR RIO ORO 800 SUR.;;1-31728-1977;F;URUCA;SANTA ANA;478130.780000000000000;1097582.330000000000000;9.926140000000000;-84.199439999999900
1028;PREDIO ORDINARIO;124160000;;0;414;SERVICIOS ELECTRONICOS DIAZ;200897;6/10/1998 00:00;COM;REPARACION DE ELECTRODOMESTICOS, VENTA DE INSTRUMENTOS MUSICLES Y SUS ACCESORIOS;414;;;0;1;1;0;0;124160000;350828;;0;SANTA ANA, CENTRO, DE AGROSALITRE 60 SUR.;;1-719936-1987;J;SANTA ANA;SANTA ANA;480203.559999999000000;1098057.750000000000000;9.930450000000000;-84.180539999999900
2022;PREDIO ORDINARIO;405169000;;0;305;CERAMICA;11328;1/1/1900 00:00;COM;CERAMICA;305;30/4/2024 00:00;;0;0;1;0;0;405169000;301376;;0;URUCA, DEL COLEGIO 115 NORTE Y 29 ESTE.;;1-845758-1989;F;URUCA;SANTA ANA;478906.599999999000000;1098528.110000000000000;9.934699999999990;-84.192369999999900
1211;PREDIO ORDINARIO;115006000;;0;125;CERAMICA PAUL;15586;26/9/2000 00:00;COM;CERAMICA;125;;;0;1;1;0;199;115006000;284975;;0;SANTA ANA, ALTO DE LAS PALOMAS, FRENTE AL HOTEL ALTA.;;1-78302-1992;F;SANTA ANA;SANTA ANA;481630.650000000000000;1098280.479999990000000;9.932470000000000;-84.167529999999900
