objectid;provincia;cant??n;distrito;nombre_ase;codigo_cor;poblacion_;viviendas;hogares;st_area_sh;st_length_;latitud;Longitud
1727;San Jos?®;San Jos?®;Pavas;Nueva Esperanza de Pavas 2;8;282;97;103;9015.043570634990000;412.956420810110000;-84.152;9.958
1734;San Jos?®;San Jos?®;Pavas;Santa Fe;8;270;87;92;8462.441449584990000;794.823701865089000;-84.149;9.951
1747;San Jos?®;San Jos?®;Pavas;Bendicion 1;6;225;78;82;8795.920822115000000;879.830681836500000;-84.146;9.955
1760;San Jos?®;San Jos?®;Uruca;Bajos del Virilla;8;40;13;14;2417.164971985000000;261.372329292486000;-84.109;9.961
1766;San Jos?®;San Jos?®;Pavas;Bella Vista de Pavas;1;557;192;204;28888.627830084900000;1931.672495949950000;-84.159;9.962
1773;San Jos?®;San Jos?®;Uruca;Las Brisas de Rossiter Carballo;8;335;108;114;10728.137878845000000;1270.294054851640000;-84.128;9.965
1778;San Jos?®;San Jos?®;Hatillo;Florida Sur;8;28;9;10;725.312924279999000;107.766759117637000;-84.094;9.911
1802;San Jos?®;San Jos?®;Pavas;Unidos Pro Vivienda;8;183;63;67;6286.201420250000000;396.367184532502000;-84.157;9.961
1809;San Jos?®;San Jos?®;Pavas;Santa Luc?¡a;8;282;91;96;7180.546744805000000;542.369638667963000;-84.164;9.962
1832;San Jos?®;San Jos?®;Pavas;Tapon;8;294;95;101;5658.961689380000000;1093.611225723300000;-84.153;9.954
1841;San Jos?®;San Jos?®;Hatillo;Veinticinco de Julio;8;0;0;0;3572.264539260000000;288.135840070013000;-84.094;9.913
1862;San Jos?®;San Jos?®;Pavas;Los Guindos;4;257;83;88;12034.349734945000000;763.463934192621000;-84.151;9.952
1876;San Jos?®;San Jos?®;Hatillo;Hogar Propio;8;53;18;19;6511.773687930000000;690.562448292219000;-84.110;9.917
1899;San Jos?®;San Jos?®;Pavas;Loma Linda;1;471;152;161;10737.429239004900000;601.515911302560000;-84.165;9.962
1901;San Jos?®;San Jos?®;Uruca;Bajo Los Ledezma;4;220;71;75;17625.842584109900000;1173.617930678000000;-84.114;9.946
1908;San Jos?®;San Jos?®;Hatillo;Contiguo a Biblioteca Virtual-25 julio;8;8;3;3;584.065036319999000;96.849408065174900;-84.094;9.914
1909;San Jos?®;San Jos?®;Pavas;Nueva Esperanza de Pavas 1;8;670;231;245;22655.416190324900000;1297.819035831200000;-84.154;9.959
1919;San Jos?®;San Jos?®;Hatillo;Las Brisas del Tirib?¡;8;60;21;22;2978.158796709990000;270.907827627042000;-84.099;9.908
1951;San Jos?®;San Jos?®;Pavas;La Franja;5;391;126;134;12082.857568114900000;803.995274061644000;-84.154;9.953
1952;San Jos?®;San Jos?®;Hatillo;Las Gavetas;8;86;30;31;13750.541416365000000;824.399230279203000;-84.110;9.915
1955;San Jos?®;San Jos?®;Uruca;La Carpio;1;18239;6077;6442;574574.331955680000000;34994.615418074900000;-84.150;9.962
1956;San Jos?®;San Jos?®;Pavas;Santa Fe;3;278;96;102;5836.961712115000000;405.334868611568000;-84.151;9.957
1968;San Jos?®;San Jos?®;Hatillo;Monse??or Arrieta - Barrio La Amistad;8;166;57;61;11454.163322959900000;601.498562773373000;-84.096;9.907
1987;San Jos?®;San Jos?®;Pavas;L?¡nea del Tren;3;800;276;292;43766.563539690000000;3289.104287591020000;-84.147;9.954
2005;San Jos?®;San Jos?®;Pavas;Rivera del Rio;8;456;141;150;10286.374431120000000;631.493344999900000;-84.162;9.963
2031;San Jos?®;San Jos?®;Hatillo;Los Aserrines;8;310;107;113;8865.480720685000000;677.805824157472000;-84.104;9.926
2062;San Jos?®;San Jos?®;Hatillo;Calder??n Fournier;8;37;12;13;912.251431805000000;149.140248178970000;-84.093;9.908
2063;San Jos?®;San Jos?®;Pavas;Bendicion 2;6;186;64;68;6802.243433984990000;682.525625190003000;-84.149;9.956
2080;San Jos?®;San Jos?®;Uruca;Corazon de Jesus;8;142;78;83;7253.738470094990000;668.825374360150000;-84.113;9.959
2143;San Jos?®;San Jos?®;Uruca;Sin Nombre;0;25;8;9;2287.244980245000000;382.072696346589000;-84.086;9.944
2159;San Jos?®;San Jos?®;Hatillo;Ranchos INA;8;25;8;8;776.552531895000000;118.893986990345000;-84.092;9.911
2162;San Jos?®;San Jos?®;Pavas;Precario Tarz?ín;1;281;97;103;12679.906662740000000;939.082813407245000;-84.159;9.961
2190;San Jos?®;San Jos?®;Uruca;La Ladrillera;8;68;22;23;1622.822369989990000;274.521543217291000;-84.089;9.948
2251;San Jos?®;San Jos?®;Hatillo;Asprovicruz;8;56;19;20;1590.809525025000000;166.017716540170000;-84.095;9.916
